Search Query,Search Volume,Click-Through Rate,Conversion Rate,Average Click Position,Results Count,Click Count,Conversion Count,Category,Quartile (Volume),Quartile (CTR),Unnamed: 11,Query Type
ruck,5183,0.0177503376,0.0019293845,7.7065217391,813,92,10,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
swimming ,5338,0.0181715999,0.002248033,2.0841924399,4742,97,12,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
basketball,12412,0.0184498872,0.0022558814,2.1524017467,1296,229,28,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
north face backpack,3494,0.01860332,0.0002862049,56.3487179487,1026,65,1,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
roller,8274,0.0186125212,0.002054629,2.1980519481,829,154,17,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
football ,9789,0.0192052304,0.0011237103,30.3874113475,4618,188,11,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
cam,2694,0.0200445434,0.0025983667,6.8314814815,1899,54,7,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
snork,4189,0.0219622822,0.0035808069,3.7323369565,83,92,15,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
badminton,11933,0.0222073242,0.0049442722,1.4735849057,988,265,59,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
running,16728,0.0224188438,0.0017337239,1.3293333333,6673,375,29,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
badminton ,4303,0.0234719963,0.003021148,1.6534653465,968,101,13,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
basketball ,4661,0.024672817,0.0030036473,2.1739130435,1279,115,14,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
roller ,2408,0.0253322259,0.0029069767,1.8360655738,698,61,7,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
horse ,3445,0.0278664731,0.0005805515,126.2100694444,1680,96,2,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
sun,3497,0.02830998,0.0034315127,47.4781144781,1291,99,12,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
kalenji hat,3065,0.0283849918,0.0003262643,71.2183908046,282,87,1,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
roll mat,3393,0.030651341,0.0008841733,4.5817307692,21,104,3,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
running ,8106,0.0308413521,0.0008635579,1.356,6166,250,7,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
camp,2914,0.0315717227,0.003431709,1.8152173913,1159,92,10,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
football,29290,0.0320587231,0.0012632298,21.7279020234,5026,939,37,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
pop up,2577,0.0322079938,0.0,16.0050200803,107,83,0,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
pad,2408,0.0323920266,0.0004152824,3.6378205128,2815,78,1,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
ice,3583,0.0343287748,0.0027909573,20.0150406504,740,123,10,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
osprey backpack,4733,0.0359180224,0.0,26.2681372549,740,170,0,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
basket,5062,0.0361517187,0.0009877519,14.6684881603,1146,183,5,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
ten,2984,0.0365281501,0.0036863271,3.5183486239,2811,109,11,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
walking ,2434,0.0369761709,0.001232539,30.7644444444,3317,90,3,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
pickle,2421,0.0375877736,0.0033044197,10.7331668332,256,91,8,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
board shorts,2888,0.0377423823,0.0003462604,9.9518348624,56,109,1,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
osprey bag,3066,0.0381604697,0.0,2.0128205128,4,117,0,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
archery,10498,0.0382930082,0.0080967803,1.5953565506,349,402,85,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
osprey,11154,0.0387305003,0.0007172315,40.5225308642,199,432,8,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
paddle ,2852,0.0392706872,0.0035063114,11.7857142857,881,112,10,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
dart,6194,0.0397158541,0.0058120762,1.8749322493,484,246,36,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
back,5577,0.0407028869,0.0025103102,7.0556534508,1437,227,14,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
horse,11280,0.0408687943,8.86524822695035e-05,172.7884309472,1866,461,1,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
walking pad,8170,0.0408812729,0.0028151775,12.796257485,320,334,23,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
bad,4161,0.0418168709,0.0079307859,1.408045977,728,174,33,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
dry,2538,0.0437352246,0.0019700552,5.1666666667,1119,111,5,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
karate,2826,0.0445859873,0.0116772824,1.6349206349,295,126,33,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
netball shoes,3500,0.0448571429,0.0002857143,10.4246284501,146,157,1,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
golf clubs,3199,0.0465770553,0.0,29.82957814,272,149,0,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
sleep,3435,0.0465793304,0.0040756914,15.2260416667,231,160,14,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
judo,2401,0.0478967097,0.012911287,1.7434782609,282,115,31,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
sleeping ,2796,0.0515021459,0.0042918455,11.6493055556,175,144,12,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
sock,3346,0.0552898984,0.0050806934,16.736036036,1305,185,17,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
weight ,3156,0.0557667934,0.0012674271,33.6047348485,453,176,4,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
float,3088,0.0569948187,0.0,51.7320075758,908,176,0,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
base,3765,0.0573705179,0.0045152722,13.0137345679,1224,216,17,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
life ,2437,0.0574476816,0.0073861305,3.0785714286,407,140,18,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
shin,2456,0.0582247557,0.0020358306,12.0058275058,208,143,5,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
<empty search> ,5605,0.0613013085,0.0007169744,37.8230994152,40736,342,4,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
micro,4024,0.0613817097,0.0019880716,12.3055330634,291,247,8,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
kettle,9922,0.0654101996,0.003829873,4.1589625064,79,649,38,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
paddle,15039,0.0656958574,0.0036571581,6.4963900135,1008,988,55,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
waterproof ,11262,0.0665068372,0.001509501,40.3420375315,2029,749,17,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
fleece ,2764,0.0665701881,0.0018089725,29.6001164596,1906,184,5,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
short,2499,0.0672268908,0.0028011204,20.0928571429,4103,168,7,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
raincoat,5896,0.0673337856,0.0008480326,34.1869017632,573,397,5,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
air,2979,0.0681436724,0.0080563948,4.9113300493,1323,203,24,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
luggage,5029,0.0689998012,0.0017896202,39.2407300672,2028,347,9,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
punch,3041,0.0697139099,0.0036172312,13.0312893082,124,212,11,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
life,3505,0.0713266762,0.0102710414,4.6048666667,770,250,36,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
walking,4638,0.0713669685,0.0012936611,55.6865558912,3459,331,6,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
cargo,3309,0.0725294651,0.0003022061,8.415,135,240,1,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
swim shorts,8746,0.0739766751,0.0019437457,8.1608964451,62,647,17,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
water ,2671,0.0741295395,0.0089853987,6.0984848485,993,198,24,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
weight,16116,0.0762596178,0.0035368578,30.7200976404,718,1229,57,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
swim vest,4794,0.0763454318,0.0012515645,22.4795992714,292,366,6,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
thermal top,2877,0.0775112965,0.0031282586,16.6476083707,248,223,9,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
boots,18134,0.0786368148,0.0009374655,66.0942340658,2306,1426,17,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
rain,5563,0.0794535323,0.0025166277,23.0281297134,2554,442,14,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
water,8236,0.08135017,0.0078921807,14.7769900498,3434,670,65,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
swim,13259,0.0828116751,0.0041481258,70.456952034,4592,1098,55,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
pool,4970,0.0830985915,0.0006036217,35.5341000807,564,413,3,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
glasses,4883,0.085807905,0.0016383371,22.2071599045,121,419,8,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
rain coat,5101,0.0872377965,0.00117624,35.9281835206,693,445,6,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
tennis racket,10202,0.0881199765,0.0016663399,23.8920069919,653,899,17,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
hoodie,6552,0.0882173382,0.0016788767,25.5900615148,609,578,11,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
cool,2616,0.0909785933,0.0103211009,7.8742997199,259,238,27,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
coat,5044,0.0911974623,0.0003965107,28.1829994824,3834,460,2,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
wet suit,10438,0.0925464648,0.0013412531,20.0616229584,585,966,14,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
rowing,4483,0.0925719384,0.0031229088,14.1663052209,185,415,14,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
swimsuit,9160,0.093558952,0.0021834061,82.6181558037,1388,857,20,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
pac a mac,2654,0.0964581763,0.0007535795,27.564453125,557,256,2,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
box,3177,0.0969468052,0.0022033365,12.2943722944,1635,308,7,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
snorkel ,2477,0.0972951151,0.0012111425,15.0008298755,73,241,3,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
goalkeeper,3357,0.0977062854,0.0047661603,49.187804878,573,328,16,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
skate,3304,0.0986682809,0.0018159806,30.4161444639,1634,326,6,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
waterproof,21246,0.1013367222,0.0036242116,32.5462706437,1978,2153,77,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
fleece,31685,0.1042449108,0.0036294777,22.1561197923,1931,3303,115,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
ski boots,11392,0.1043714888,0.0020189607,14.735884009,118,1189,23,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
wellington boots,4140,0.1048309179,0.0028985507,48.3183289445,346,434,12,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
matt,2485,0.1054325956,0.0044265594,14.3678329092,891,262,11,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
jacket,10378,0.1057043746,0.0015417229,21.0752176265,3802,1097,16,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
underwear,2376,0.1060606061,0.0042087542,16.8681216931,355,252,10,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
shirt,2853,0.106554504,0.0024535577,41.0855263158,4027,304,7,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
wet suits,2851,0.1073307611,0.0010522624,25.877124183,583,306,3,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
swimming trunks,2591,0.1080663836,0.0007719027,30.2641581633,174,280,2,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
wellington,2745,0.10856102,0.0021857923,33.3518456376,496,298,6,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
rope,4942,0.1094698503,0.0012140834,24.5373998768,232,541,6,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
beach shoes,7289,0.1103031966,0.0017835094,19.3934701493,84,804,13,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
bib,2947,0.1109602986,0.0088225314,8.2714067278,188,327,26,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
electric scooter,6614,0.1109934977,0.0001512173,18.2742960945,72,734,1,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
travel,4036,0.1112487611,0.0027254708,67.9932442465,437,449,11,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
net,2684,0.1114008942,0.0029806259,30.6868530021,836,299,8,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
hydration,3396,0.1118963486,0.0020612485,17.0567042607,78,380,7,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
running shoes,10889,0.1120499633,0.0011021308,34.1036891751,2203,1220,12,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
thermal ,3769,0.1122313611,0.0082249934,13.8846054261,786,423,31,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
camping gas,3011,0.1129192959,0.0019926935,36.552745098,152,340,6,Low Performing,Q1 (Bottom 25% Volume),Q1 (Bottom 25% CTR),,original
snow boot,3131,0.113382306,0.0051101884,11.8130943235,118,355,16,Low Performing,Q2 (25-50% Volume),Q1 (Bottom 25% CTR),,original
golf shoes,5534,0.1134803036,0.0010842067,30.5279193206,277,628,6,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
ball,7406,0.1145017553,0.0029705644,39.3811601527,2552,848,22,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
bike seat,4968,0.1163446055,0.0040257649,21.9960495963,250,578,20,High Volume, Low CTR,Q3 (50-75% Volume),Q1 (Bottom 25% CTR),original
torch,7799,0.1166816258,0.0032055392,14.4479726684,1937,910,25,High Volume, Low CTR,Q4 (Top 25% Volume),Q1 (Bottom 25% CTR),original
badminton shoes,2506,0.1189146049,0.0011971269,11.034647651,88,298,3,Low Performing,Q1 (Bottom 25% Volume),Q2 (25-50% CTR),,original
snorkel,21815,0.1203300481,0.0040339216,19.4808471655,113,2625,88,High Volume, Low CTR,Q4 (Top 25% Volume),Q2 (25-50% CTR),original
snow,6477,0.1216612629,0.0074108384,37.2330231246,1510,788,48,High Volume, Low CTR,Q3 (50-75% Volume),Q2 (25-50% CTR),original
tennis rackets,3908,0.121801433,0.0010235415,28.6659663866,571,476,4,Low Performing,Q2 (25-50% Volume),Q2 (25-50% CTR),,original
